,precision,recall,f1-score,support
Cong nghe,0.9030760301799188,0.9120750293083235,0.9075532225138525,1706.0
Doi song,0.8157736303431667,0.8108916816277678,0.8133253301320529,1671.0
Giai tri,0.8793349168646081,0.9095823095823096,0.8942028985507245,2035.0
Giao duc,0.8739711934156379,0.9105037513397642,0.8918635170603675,1866.0
Khoa hoc,0.8440285204991087,0.8867041198501873,0.8648401826484019,2136.0
Kinh te,0.8616517622304051,0.8064992614475628,0.8331637843336723,2031.0
Nha dat,0.8186528497409327,0.8956069910250354,0.8554026618542747,2117.0
Phap luat,0.846389228886169,0.8276481149012568,0.8369137670196671,1671.0
The gioi,0.9020516214427532,0.8996699669966997,0.9008592200925314,1515.0
The thao,0.9502673796791444,0.9689203925845147,0.9595032397408207,1834.0
Van hoa,0.7736784140969163,0.7758144671452236,0.7747449682933553,1811.0
Xa hoi,0.8380889183808892,0.6823338735818476,0.7522334723049435,1851.0
Xe co,0.9363768819815445,0.9418661455788959,0.939113492450073,2047.0
accuracy,0.8648470626981186,0.8648470626981186,0.8648470626981186,0.8648470626981186
macro avg,0.8648724113647075,0.863701238843799,0.8633630582303644,24291.0
weighted avg,0.8646388635237704,0.8648470626981186,0.8637948431758499,24291.0
