,precision,recall,f1-score,support
Cong nghe,0.9432234432234432,0.9426479560707749,0.9429356118400978,1639.0
Doi song,0.8915956151035322,0.8824593128390597,0.8870039382005452,1659.0
Giai tri,0.932446264073695,0.9314928425357873,0.9319693094629157,1956.0
Giao duc,0.9270563890325918,0.9451476793248945,0.9360146252285192,1896.0
Khoa hoc,0.9003306565895135,0.9054631828978622,0.9028896257697774,2105.0
Kinh te,0.9139344262295082,0.8762278978388998,0.8946840521564694,2036.0
Nha dat,0.9100138440239963,0.9219261337073399,0.9159312587087786,2139.0
Phap luat,0.9034883720930232,0.8946459412780656,0.8990454150997975,1737.0
The gioi,0.932762030323006,0.9358465608465608,0.9343017497523936,1512.0
The thao,0.9658314350797267,0.9826187717265353,0.974152785755313,1726.0
Van hoa,0.8727372462973121,0.8632664134563213,0.8679759956355702,1843.0
Xa hoi,0.8457655636567583,0.8543909348441926,0.8500563697857947,1765.0
Xe co,0.9698681732580038,0.9749171793658306,0.9723861222563134,2113.0
accuracy,0.9163972477824753,0.9163972477824753,0.9163972477824753,0.9163972477824753
macro avg,0.9160810353064701,0.9162346774409325,0.9161036045886374,24126.0
weighted avg,0.9162908586305778,0.9163972477824753,0.9162869113678563,24126.0
