,precision,recall,f1-score,support
Cong nghe,0.9375382731169627,0.9341061622940817,0.9358190709046456,1639.0
Doi song,0.8717639975918121,0.8728149487643159,0.8722891566265061,1659.0
Giai tri,0.9223350253807107,0.9289366053169734,0.9256240448293429,1956.0
Giao duc,0.917312661498708,0.9361814345991561,0.9266510049595406,1896.0
Khoa hoc,0.9024390243902439,0.896437054631829,0.8994280266920878,2105.0
Kinh te,0.9054054054054054,0.8555992141453831,0.8797979797979797,2036.0
Nha dat,0.8869209809264306,0.9130434782608695,0.8997926744989634,2139.0
Phap luat,0.8925425719318849,0.8750719631548647,0.8837209302325582,1737.0
The gioi,0.9215686274509803,0.9325396825396826,0.9270216962524654,1512.0
The thao,0.9613196814562003,0.9791425260718424,0.9701492537313433,1726.0
Van hoa,0.8515667949422759,0.8404774823657081,0.8459858001092299,1843.0
Xa hoi,0.8269662921348314,0.8339943342776204,0.8304654442877291,1765.0
Xe co,0.9636792452830188,0.966871746332229,0.9652728561304039,2113.0
accuracy,0.9051231037055459,0.9051231037055459,0.9051231037055459,0.9051231037055459
macro avg,0.9047198908853434,0.9050166640580426,0.9047706106963689,24126.0
weighted avg,0.9050253122673806,0.9051231037055459,0.9049701515052252,24126.0
