number,value,batch_size,dense_units,dropout_rate,epochs,learning_rate,lstm_units_1,lstm_units_2,state
0,0.865341067314148,96,256,0.5,30,0.000578497514716094,128,64,COMPLETE
1,0.8649293780326843,192,160,0.4,20,0.00011456781515208632,512,512,COMPLETE
2,0.8559548854827881,224,512,0.4,30,2.3318625484930674e-05,480,336,COMPLETE
4,0.8526203036308289,64,128,0.30000000000000004,30,1.5448155714819594e-05,256,160,COMPLETE
5,0.8334774374961853,128,320,0.5,10,0.009291957842882373,128,96,COMPLETE
8,0.8470627069473267,192,320,0.30000000000000004,10,5.3102245204562256e-05,128,128,COMPLETE
10,0.8587542772293091,128,448,0.2,30,0.0007533973844416604,64,32,COMPLETE
26,0.859742283821106,128,320,0.30000000000000004,30,0.0008787167048768327,64,32,COMPLETE
38,0.8452513217926025,192,224,0.4,20,2.335009856945039e-05,224,176,COMPLETE
40,0.8428224325180054,96,160,0.5,10,0.0037689674320787194,160,112,COMPLETE
61,0.8478037118911743,192,320,0.30000000000000004,10,5.440861671988972e-05,160,112,COMPLETE
64,0.8585072755813599,160,128,0.2,10,0.0002218345356715427,96,48,COMPLETE
66,0.8611419796943665,128,160,0.2,10,0.0007396031093644764,96,48,COMPLETE
71,0.8615948557853699,160,96,0.2,10,0.0007019623653114116,64,32,COMPLETE
88,0.8324070572853088,160,128,0.4,30,1.1489089899423732e-05,96,48,COMPLETE
